text,freq
Окружная окко БЛОКПОСТ,2
"Авангард новая почта радар, в сторону 7 км.",2
"Номера 3385, желтая маршрутка Эталон с рекламой Дельфинария наверху лобового стекла",2
Окружная поворот на яму БП в обе стороны,2
сейчас на углу Генерала Петрова,2
Окружная арбузы Б П,2
Вопрос к Одесситам! кто ходит на море. Подскажите пожалуйста на пляжах ловят?,2
КП Дачное-бьют по планшету в сторону города,2
Окружная ОККО собираются.,2
Черёмушки очень опасно,2
Таврия маршал опасно,2
Блок пост Чёрное море Бугаз не доезжая станции Студенческой,2
ОККО окружная БП в обе стороны,2
Перед запрравкой БРСМ по Киевской трассе патруль полицаев. Берегите себя,2
Окко окружная блок пост,2
Объездная дорога ОККО БП,2
"Санжейка, маяк, БП",2
Жк апельсин,2
Генерала Петрова вдоль парка ТЦК,2
Китайский рынок. Менты. Останавливают,2
Китайский рынок! Опасно!,2
"Окружная, окко",2
"Объездная, арбузы блокпост.",2
Генерала Петрова 68 во дворах,2
ОККО Окружная,2
Радужный конечная 145,2
"Поехали на Фонтанскую дорогу, забрали парня...",2
Медленно дворами в сторону генерала Петрова,2
ОККО объездная БП,2
Жолио-Кюри 26 опасно,2
Жоліо Кюрі 64,2
Пересыпь стрельба,2
Жоліо кюрі,2
"Ленпоселок ВАЗ, между общагами белый бус.",2
Поехал дворами в сторону Генерала Петрова,2
НОВГОРОДСКАЯ-КОСТАНДИ!!,2
"Радужный/ Копейка. Между 16 и 9 домом. люстра +5-6 ментов, выпасают. Осторожно!!",2
Одесса-Поездная тцк и полицай ждут электричку!,1
Блокпост: Балковская-Маловского и возле моста автовокзал-Балковская в обе стороны. Тормозят маршрутки. Очень много зелени.,1
"Объездная, Латовка орудуют мусора",1
Ленпоселок - ВАЗ - катается белый бус. Уехали на 1 заставу.,1
В Днепропетровске предлагают создать группы розыска военнообязанных.,1
"На Хмельницкого также могли установить блокпост, осторожнее там",1
Таврия Маршал на остановке снимают с маршруток,1
"Таврия, всё ещё стоят",1
Пересыпьский мост.Радиобазар.,1
Одесса. Ул. Генерала Петрова. Вокруг дома 48 во дворах ходят четверо нац. и трое полицейских. Смотрят на закрытые двери парадных и идут дальше.,1
По эпицентру на Посёлке ходят двое с папками,1
Одесса-Поездная в 9.00 очень много,1
"Экспострой, 3 человек на двух белых бусах прямо на остановке «беседуют» с парнем",1
На Ланжероне весь пляж окружён военными с полицией. Для Крещенского купания лучше выбрать другое место,1
"Стоят при главном входе в порт один с автоматом, нашу 190 маршрутку остановили,ну к счастью были одни женщины, и пропустили",1
Генерала Петрова / Лип пьяные ходят кошмарят ребят,1
Теплодар. Круг. Две машины полиции. Останавливают. Выписывают что-то или нет и почему останавливают информации нет.,1
Преображенская-Большая Арнаутская блокпост,1
Нати Новая почта и полиция,1
"ул. Генерала Петрова, на стоянке У магазина Сильпо, парковался синий микроавтобус на черных номерах.",1
ЛенПас ( анонимно),1
Объездная дорога с поселка,1
Таврия Маршал стоят оккупанты возле зарядки электромобилей. Аккуратней!,1
Рынок Нефтяников Полиция девушка парень с папками с ними мужчины в зеленной форме не такой как тцк останавливали выборочно и отпускали парней,1
Такой Фиат заехал на Радужный 15.04,1
"Возле жд что-то не понятное в сторону центра, останавливают машины что-то проверяют, пробка до Тц Среднефонт.",1
"7-я пересыпская, много за остановкой и полиция там же 7.34",1
Доброе утро. Много в Доброславе. Базар. Менты и вояки,1
Больница Железнодорожников на шклярука. 3 военных кошмарят парня на входе( возле ворот) в больницу.,1
Днепропетровская дорога 77/2 катается скорая на военных номерах 12.10,1
Добрый вечер ТЦК по парадным Жолио-Кюри 72. Берегите себя.,1
Хоз рынок пос Котовского полиция останавливают машины выборочно,1
ТЦК идут на Маланова 6 в тренажёрный клуб ДНК.,1
"Здобушка, пересыпский мост, 3укровоена + менты",1
"Белый бус с вурдалаками у староконного рынка,тела 3-4. Актуально на 10:30",1
Генерала Петрова. 4й хлебзавод. Бус с военными. 10:50,1
Напротив Таврии в сторону эпицентра,1
Таврия Маршала 8:07,1
Радужный 15/2. 5 человек с папкой высматривают,1
Водопроводная-старосенная блок пост,1
Ленпоселок были замечены тоже,1
"Рынок Початок, также трутся рядом",1
"Рынок початок, рядом с ним",1
"10.13 возле маршала таврия крепят типа, 2 машины",1
Теплодар 3 ублюдка возле рынка с папкой на белом дастере,1
Добровольского-Заболотного на кругу. Стоит один,1
"Окружная (заправка мойка с двух сторон полиция,",1
Химическая-Грушевского разворачивают блок пост.,1
Стоят в дворах между общагами. (Ленпоселок) Факт выдачи не видал.,1
Пересыпский мост скорая на военных номерах,1
"Добрый вечер, рейд напротив АТБ генерала Петрова, не доходя Сильпо, полиция все в черном и рядом военные",1
"Добрый вечер, сегодня с 18.00 до 00.00 Киевский р-н, рейд, полиции и нацгвардии, обход по адресам ТЦК.",1
Пересыпьский мост менты и пидоры,1
Промсвязь два гаврика и два копа в сторону генерала Петрова,1
Сегодня возможно после обеда и до вечера будут снова долбить Киевский район.Лучше пересидеть дома.,1
"Добрый день. На маякской трассе,при выезде с теплодара установка БП",1
Генерала Петрова Тцк на скорой.звездочка,1
Угол Софиевской-Преображенской,1
На парковке маршала много джипов и бусик,1
"Ж/д станция ""Восточная""-Жолио-Кюри,26-""Копейка""более 10 оливок.",1
"Окружная как всегда на выезде с Поселка копы в обе стороны, останавливают все.",1
"Базовая до поворота на эпицентр в сторону 7км стоит полиция, останавливает и проверяет (выдачи не видел) 6:55",1
Доброго дня на Петровского 9 ленпосёлок заехала желтая скорая с военными,1
Таврия Волшебный мир. Непонятный движ. Оливки+черные+бусинки. Человек 30. На 13:20,1
Добрый вечер. Только что остановился камуфляжный бусик.возле Дома Жолио-Кюри 72 вышло 5 в пикселе возможно обход по квартирно берегите себя,1
Возле Маршала на остановке 25-ой маршрутки в сторону Ильичёвска стоят трое полицейских. Останавливают. Актуально на 7:55,1
Пересыпь заправка OTTO MOTTO 500 метров стоят 2 фуры за ними Радар!,1
"Б. Хмельницкого останавливают маршрутки, спрашивают, есть ли мужчины и возраст. Человек 10",1
"Степовая-Богдана Хмельницкого, стадо, шерстят маршрутки, вытаскивают мужиков. Туда не суемся!!",1
На Б. Хмельницкого на остановке трое мудней заглядывают в маршрутки в поисках мяса... Только что.,1
Ленпоселок трусят машины и маршрутки!,1
"Объездная, АЗС ""АМИК"", Патруль, собираются работать.",1
Привет радужный 15 ходит мусор с чмоней по квартирам,1
13:58. Пересыпский мост в город. Две маслины и две оливки. Прямо под мостом.,1
Слободка рынок. Опасно,1
"Генерала Петрова,возле новой почты 138,зеленый бус на польских номерах.Внутри два пидора высматривали что-то.Анонимно.",1
"Банк Пивденный, по Днепропетровской дороге. Трое нацгулов уже приглашают парня.",1
Радужный патрулирует по дворам,1
На ЖД каждый будний день с 6 с копейками и до 9 утра с в количестве огромном. Бус белый с зелёной полоской несколько раз увозит сворованных пацанов и возвращается обратно. Не**й туда вообще шастать. Каждый день по всем группам пишут не ходить туда. Ездите автобусом блин.,1
Радужный. Остановили машину,1
"Сити-центр внутри, упыри ходят",1
Маршал Таврия В,1
"Пересыпь мост, белый бусик катается с вояками",1
"Ленпоселок, готовится блок пост скорее всего! Хорошего дня всем.",1
Зеленый бус возле эпицентра 7 км. Внутри два. Только приехал. 10 30,1
"Автостанция Одесса, ходит с оружием 07:25",1
Радужный второй въезд белый бус,1
"Ездил по дворам белый бусик, район Данченко, высматривали людей.",1
"Генерала Петрова у входа в рынок стоят пакуют, двое с папкой двое в машине",1
6:46 7-я Пересыпьская,1
Ситицентр,1
"Вскм доброе утро. На остановке 7-я пересыпьская, в сторону города блок пост зелёных пикселей. Тормозят маршрутки.",1
7-я пересыпьская стоят 4 пикселя и один в черном возле заправки БРСМ актуально на 9.35,1
"Доброе утро. Сити-центр Таирова без изменений, стоят в две стороны. 8.40",1
"Блокпост около заправки е-газ, 7-я пересыпская ещё актуально.",1
7-я Пересыпьская в обе стороны,1
Сити-центр на Таирова остановка,1
Рынок Початок. Шмон. Там пиксельные гоблины 9:40,1
Сити-центр Таирова на остановке в сторону города стоят штук 5 нацгулов,1
Жд и старосенная-опасно,1
Только что на первой станции Люстдорфа. Высадили два буса,1
Блок пост за Пересыпьским мостом в сторону Котовского,1
"По Генерала Петрова едет бус с оккупантами ищут жертв, будьте аккуратны",1
"Адмиральский-Судостроительная стоит бус огорожен конусами, за ним пиксели с оружием, и 1 с леденцом выслеживают машины, выборочно тормозят.",1
Маяк мойка,1
"Доброе утро, на базовой стоит полиция останавливает выборочно на первых воротах за эпицентром",1
"ЖД-вокзал, со стороны троллейбусной остановки. Менты + военные + военный тентованный МАЗ. 08:25",1
Доброе утро! На Грушевского-Проценко полиция останавливает всех мужчин.,1
"Ситицентр в сторон у Радужного стоят, шмонают маршрутки!",1
"Доброе утро! 52 линия, Объездная дорога (Посёлок Котовского) стоят два полицая. 08:15",1
Треугольник Генерала-Радосная-Якира пешком не ходите. Во дворах раздача открыток.,1
"Д.Донского/Люстдорф дорога - напротив заправки ""Socar"" - трое зеленых в сопровождении 4-х в черной одежде (не полиция). Бус уехал, они стоят - актуально на 9.20.",1
"На генерала Петрова 45, между домов заехал бус. 2 оливки, 2 по гражданке вылезло. Что делать будут не ясно",1
Данченко около военкомата стоит красный бус Фольксваген с военными номерами,1
"Бус с желто-синей полосой катается по Серова-Мясоедовская (по будням) каждое утро, примерно с 7.00, все кто ходит пешком на работу по Молдованке будьте осторожны!",1
За рынком Черёмушки стоит одинокий пятнистый возле красночерного буса,1
"На въезде на рынок 7 км, на перекрёстке где Артвиль, стоят 2 патрульные машины и полицейские",1
"Ленпосёлок. Поворот на бетонку ставят блокпост. 7,46",1
"Ленпосёлок. Поворот на бетонку: БП, куча душегубов.",1
Жолио-кюри 26 2 пятнистые машины. На 14.00,1
по 3 чел с папками трусят базар,1
Объездная поворот на Корсунцы полицаи,1
Шастают в районе Осипова-Большая Арнаутская.,1
"Катается Jetta белая (Военные номера ) "" Новая почта """,1
"Р-н ул. Горизонтальная, Ленпас. 2 день",1
"Радужный, ставят блок пост",1
"Радужный бетонка, военные. Убирают тротуар.",1
ОККО Объездная дорога возле кладбища стоп контроль,1
"Окружная дорога ОККО Шевченко, возле кладбища БП",1
"Слободка, Смартлаб- белый бус и 3-4 нетоварища тусуются",1
Одесский порт! На всех въездах и выездах могильщики! 8:50,1
На всех вьездах и выездах в Одесский порт могильщики,1
"Доброе утро! Всем внимание заехало много вояк, с полицией в порт, всех пробивают по планшету, все кпп с вояками и полицией",1
"На Таможенной только что заметили, что вояки с оружием при въезде в порт осматривают все машины. Тряска продолжается...",1
7-Пересыпьская заправка VOG поставили блок пост в сторону города,1
"7-Пересыпьская заправка WOG: БП в сторону города. Много упырей, тормозят маршрутки, проверяют трамваи.",1
7-ая Пересыпская остановка трамваев. ЛГБТ-воины раздают билеты на 95 квартал,1
"в районе Базарной-Утёсова ездит серый бус Фольсваген, уже двух пацанов крепили",1
Теплодар. На кругу стоит машина полиции. Вторая машина по Теплодару. Пока никого не останавливали.,1
"Добрый вечер.таврия в Маршал,бус военный плюс полиция",1
Экспострой. Линия 13 трамвая (к предыдущему посту),1
Пересыпьской мост остановка в сторону Посёлка: БП. Актуально на 10:35,1
Доброе утро! Жолио-Кюри станция Восточная. Стоит белый бус военных. Человек 15,1
Ильичёвск-черноморск будьте внимательны катается белый бус,1
"Сити-центр на поселке Котовского, на парковке старый микроавтобус Фольксваген 3 людоеда оформляют парня",1
"Доброго дня! На остановке Пересыпский мост в сторону Посёлка много ТЦКов, блокпост останавливают маршрутки. Актуально на 10.30",1
Пересыпьской мост остановка в сторону Посёлка поставили БП,1
"Слободка, на двух бусах белый и серый рыщут в поисках мяса",1
Осторожно! Б.Хмельницкого 72.,1
"Всем здравствуйте, Пересыпьский мост в сторону города на остановке Б.П!!!!",1
Пересыпьский мост актуально 6:25,1
"Дорогие женщины! Вы сейчас хранительницы и спасительницы наших мужчин, нашего любимого города и края! На вас так многое держится сейчас! С праздником! Крепкого здоровья, сил, надежды на хорошее (а оно будет и скоро) и радоваться весне не смотря ни на что!",1
"Нерубайское, ТЦК машина новая почта с чёрными номерами ездят по улицам",1
"Окружная, выезд с поселка, поворот на Корсунцы. Просто менты",1
"Рынок на нефтяников 3 опарыша швендрают,, из автомобиля внедорожника выползли",1
"Базовая, новая почта стоит бус, тцк с папками",1
Сильпо Генерала Петрова 2 черта на парковке пресовали парня,1
5:30  мост Пересыпь блок пост,1
"Пересыпьской мост в сторону города: БП, трясут маршрутки.",1
На остановке пересыпский мост в сторону города разворачивают блок пост,1
Мост Пересыпь осматривают маршрутки на остановке. 8:07,1
"Трамвайная остановка эпицентр, за поселком 10 оливок и один черный с папкой раздача",1
Радужный Паркинг,1
"Я так понимаю, они катаются в этом районе - Химическая-Боровского-Промышленная.",1
"Радужный, новый выход. Трое пиксельных и серый бусик. Стояли, говорили с парнем. Осторожно!",1
Радужный конечная 145 маршрутки полиция останавливает машины проверяет багажники,1
Ленпоселок - много вояк! Парня пресуют,1
"Здравствуйте, люди пишут про часто Ленпас, часто не уточняют где именно, из за того сложно ориентироваться, как и где обойти или объехать, все ж должны понимать что не точная или не корректная информация может стоить чей то жизни. Ленпас достаточно не маленький.",1
Возле 13 линии трамвая магазин Копейка возле детского садика,1
"Белый бус Рено трафик, кагал упырей тцк. Порт возле центрального въезда, едут в направлении крекинга",1
"Ленпоселок катается белый бус (форд) минут 20 назад прислали мужика на Вазе, возле белого магазина.",1
только что на 4ст люстдорфа напротив сокара,1
Радужный между 20 и 23 домом.,1
"Генерала Петрова 53 во дворе, ходят 2 оливы с папкой.",1
Два бандеровца ходят с папкой по Б.Хмельницкого по четной стороне.,1
С остановки на космокноватов/Генерала Петрова поперли в сторону 25ой,1
9 ст Фонтана- выскочило 2 военных упыря из белого буса на парня.,1
7-я Пересыпьская. Осторожно и не давайте себя в обиду!,1
Маякская два столба-тучи в сторону Одессы,1
остановка 10 линия! прицепились к парню! актуально сейчас! детская стоматология,1
"Радужный, крепят пацана четверо пидоров",1
"в районе староконного рынка ездит серый бус на черных номерах. Гнались за парнем, но он успел убежать.",1
"Радужный, конечная 214 маршрутки. Бус с зелёными, аккуратно!",1
По Генерала Петрова медленно ходят 4 мента и присматриваются,1
Отрада возле тренажёров микроавтобус и легковушка. Пьют кофе 5 чел,1
6:20-клеверный уже есть.,1
"06.39 БП Лузановка-Метро-Аміс подтверждаю,трусять маршрутку.",1
Круг радужный белый бус крепят двоих,1
"Доброе утро! Объездная дорога 51 линия на обочине стоит ментовская машина, но никто не стоит. Актуально на.8:20",1
10:11 заехали на Радужный,1
Генерала Петрова напротив Сильпо 53 школа,1
"На парковке Мегадома, серый бус фольцваген...двое наулице остальные внутри...",1
"1-й Заливной/ Богатова. Белый Кенго, крепят мужика",1
"Стоит бус, конечная 10 троллейбуса, пересыпь, будьте осторожны.",1
Возле Эпицентра на Таирово стоят человек 8,1
Собираются вояки на перекрестке объездная -Латовка.Будьте аккуратны.,1
"1-й Заливной переулок, в сторону Посёлка БП. Очень много гестаповцев, тормозят всех!",1
Химическая-Грушевского стояли 2 на машине с мигалками в 7:55,1
Объездная как выезжать с Посёлка Котовского с правой стороны возле Оковской заправки развернули блок пост.,1
Генерала Петрова 70 во дворе дома стоит белый бус Хюндай - с гоблинами,1
"Жолио-Кюри-ст""Восточная"" тцк две машины.Ходят шакалы высматривают жертву.",1
"Радужный, 2 въезд - возле ствола. Бусик полный тцк, парнишка от них еле спасся побегом.",1
Жолио-кюри 26 на 7.10 возле копейки белая легковушка 3 дементора сидят в машине выскакивают к прохожим,1
"Ленпоселок переезд, бродят оливки, будте осторожны.",1
Ул Базовая позади Эпицентра 7км. Работает ТЦК. Белый Хюндай,1
Паустовского-Добровольского.,1
"Маршрутка рейсовая, написано ""7км Эпицентр"". Будьте осторожны!",1
"Жолио-Кюри, возле ст. Восточная катается старый Фольксваген В 2 в фургоне. Оранжевый. Трое гоблинов. Пасут...",1
"Гагарина-сегедская, группа мужеловцев, с ними телка. Пока пьют кофе",1
"1-й Заливной пер. Остановка в сторону Поскота и в сторону города: БП, трясут маршрутки.",1
Черёмушки шухер. Лазят по дворам,1
"Чебоксарская/Академика Плевко, белый бус возле продуктового и 4 оливки трутся рядом. Осторожно!",1
"Опасно 7-я Пересыпьская: за переездом сразу за серой щитовой возле ""Табакерочки"" стоят 4 душегуба. Еле отвалил. Обходите.актуально на 16.55",1
Фотофакт. Сити-центр Таирова остановка в сторону города...,1
Машина с ментами за 7-й Пересыпьской в сторону Головатого,1
Окружная с поселка заправка ОККО блок пост,1
"Заправка окко объездная дорога с посёлка, полиция и тцк, останавливают машины и проверяют доки, грузят в автобус",1
АТБ Пересыпь на против маг. Треш на трамвайной остановке 8- 10 Оливок,1
Во дворы на люстдорфскую дорогу 125 заехал белый нисан бус целый бус военых,1
Серый фольц бус с военными заехал в кадорр Таирова 9.46,1
Поселок Котовского рынок Початок. Три оливки цинкуют,1
Ильичёвск-черноморск будьте внимательны катается Мерс медленно в поиске жертв по возможности обходите центр,1
Толбухина-Краснова продолжают «трусить» маршрутки и выборочно легковые. Человек 10 оливок и человек 5 маслин. Все в балаклавах,1
"Среднефонтанская-Семинарская - авария, побка, по возможности объезжать..",1
Марсельськая-Добровольского на остановке дохрена упырей,1
"Ленпоселок - высадили много оливок, будут по домам ходить.",1
"Добрый день! А где именно на Ленпасе высадили много оливок, а то сейчас ребёнка в школу везти...",1
"Доброе утро. Таврия Волшебный мир, очень много пикселей. Затариваются похоже, но будьте аккуратно. Актуально на 8:40.",1
"Доброе утро! Объездная дорога, 52 линия, стоят 2 мента. Тормозят выборочно.",1
"7-я пересыпьская в сторону поселка разворачивают блок пост, актуально на 6:20",1
"7 пересыпь и в город и с города БП, с города на трамваях пасуться",1
"7-я Пересыпьская: а обе стороны толпа нацгулов, трясут так же и трамваи",1
Ильичёвск-черноморск по Данченко возле новой почты стоит синий volkswagen будьте внимательны возможно выезд пока пьют кофе,1
7-я Пересыпьская: В сторону города,1
"Доброго утра! Объездная дорога, 50 линия, стоят менты, останавливают машины. Актуально на 8:18.",1
"остановка Экспострой в сторону Эпицентра, стоит бусик, менты останавливают маршрутки на остановке",1
"7-я Пересыпьская возле заправки WOG БП, нацисты трясут транспорт в обе стороны, так же трясут трамваи.",1
Экспострой. Тормозят всех,1
Где плещется море и солнце не ждут словно милость...,1
окружная пос.Шевченко около WOG - блок пост тцк,1
На Сахарном (Суворовский район),1
Полиция возле Красноселки. Объездная.,1
"Радужный 2 заезд, парочка мужчина и женщина ходили по дворам,выдачи не видел,но на всякий случай",1
"Днепропетровская дорога 62, во дворе возле Троицы (магазин) стоят пьют кофе. Актуально 8:04.",1
На 4ст. Таврия на остановке много тцк,1
Слободка. Смарт лаб. Базарчик.,1
"P.s. собрали бы этих свиней по всему городу, со всех блок постов, ей Богу бы вышло пару рот, радужный шеврон и вперёд, на защиту.",1
"По новосельского, номер 72 идут с двух сторон не спеша, ищут жертв..",1
При подъезде к Эпицентру (Таирово) - полиция тормозит машины. Будьте аккуратны. Актуально 11.30.,1
"14 ст. Люстдорофской дороги, рынок стройматериалов у входа белый nissan микроавтобус, 2 пятнистых оккупанта",1
На парковке Эпицентр-таирова автобус с военными,1
Генерала Петрова 49 на остановке бус присуют 2 пацанов будьте аккуратно,1
"Радужный 2 вход стоят, каких-то действий не производили",1
"Б.Хмельницкого 70, стоит зелёный бус в внутри два укро нациста посут кого то.",1
4 упыря рядом с магазином Ствол! 7.30,1
"Б.Хмельницкого 68-70 скопление укро-нацистов возле комплекса ""патриот"". Осторожно.",1
"Мост пересыпь желтая скорая на выходе с туннеля у конечной 10го троллейбуса,за рулем военные",1
Радужный въезд с Сундука трое тварей,1
Шклярука / Авдеева-Черноморского белый Hyundai H1 разговаривают с парнем двое в зелёном один чёрном,1
"4 ст.бол.фонт.Таврия В, трое оливок стоят курят",1
Таврия Маршал - по-прежнему блок-пост,1
Генерала Петрова на против АТБ стоит бус с оккупантами,1
"Доброе утро. 49 линия Объездная дорога: стоят менты, тормозят выборочно.",1
На 7.15 7 люстдорф трамвайная остановка стоят.,1
Объездная дорога на заправке “amic energy” стоит белый бусик с 3 (возможно больше) упырями,1
Ильичёвск-черноморск внимательно пошли в сторону моря по данченко вверх в сторону копейки молодёжь обходите стороной,1
"Конечная троллейбуса возле Пересыпького моста, группа полицаев.",1
Сидят во дворе Маршала Бабаджаняна 25.3 рыла с автоматами.,1
"Пересыпьский мост, заправка ОККО, много упырей тцк",1
К предыдущему посту ⬆. 7-я Пересыпьская...,1
Улица Космонавтов-Иглези на кольце куча тцк,1
Будьте осторожны на Заболотного-москвич!!!! подъехал Х5 4 хряка в нем!!! И 3 пса также возле входа в копейку стоят!!!,1
Садовая-Дворянская белый Mercedes Sprinter и пятеро гомосексуалистов. Грязно пристают к прохожим. Мы убежали!,1
"Надо смотреть по району, какой ТЦК. Киевский, скорее всего. Надо туда ехать и обязательно с адвокатом",1
"Пересыпский мост,выход к троллейбусам,двое пятнистых.выдачи не видел",1
Добрый день бус с упырями стоит на Пересыпьском мосту напротив заправки ОККО,1
ПАЛАНКА-первый пост от Маяк!много!Бус комуфляжной расцветки +белый бус на чёрных номерах!,1
